name,link
African Studies Course Union,https://sop.utoronto.ca/group/african-studies-course-union/
Anthropology Graduate Student Union,https://sop.utoronto.ca/group/anthropology-graduate-students-union/
Architecture and Visual Studies Students Union,https://sop.utoronto.ca/group/architecture-and-visual-studies-students-union/
Arts & Science Students’ Union (ASSU),https://sop.utoronto.ca/group/arts-science-students-union-assu/
Association of Political Science Students (APSS),https://sop.utoronto.ca/group/association-of-political-science-students/
Association of Renaissance Students (ARS),https://sop.utoronto.ca/group/association-of-renaissance-students-ars/
Assyrian Chaldean Syriac Student Association (ACSSA),https://sop.utoronto.ca/group/assyrian-chaldean-syriac-student-union-acssu/
Astronomy Union (AU),https://sop.utoronto.ca/group/astronomy-student-union/
Bachelor of Arts Architectural Studies Society (BAASS),https://sop.utoronto.ca/group/bachelor-of-arts-architectural-studies-society-baass/
Biochemistry Graduate Student Union,https://sop.utoronto.ca/group/biochemistry-graduate-student-union/
Buddhism and Psychology Student Union (BPSU),https://sop.utoronto.ca/group/buddhism-and-psychology-student-union-bpsu/
Buddhism and Psychology Student Union (BPSU),https://sop.utoronto.ca/group/copy-of-buddhism-and-psychology-student-union-bpsu/
Canadian Studies Students’ Union,https://sop.utoronto.ca/group/canadian-studies-students-union/
Caribbean Studies Students Union (CARSSU),https://sop.utoronto.ca/group/copy-of-caribbean-studies-students-union-carssu/
Cell & System Biology Student Union (CSBSU) Mentorship Program,https://sop.utoronto.ca/group/cell-system-biology-student-union-csbsu-mentorship-program/
Cell and Systems Biology Students’ Union (CSBSU),https://sop.utoronto.ca/group/cell-and-systems-biology-students-union-csbsu/
Celtic Studies Course Union,https://sop.utoronto.ca/group/celtic-studies-course-union/
Chemistry Graduate Student Union (ChemClub),https://sop.utoronto.ca/group/chemistry-graduate-student-union-chemclub/
Chemistry Students’ Union,https://sop.utoronto.ca/group/chemistry-students-union/
Cinema Studies Graduate Student Union,https://sop.utoronto.ca/group/cinema-studies-graduate-student-union/
Cinema Studies Student Union,https://sop.utoronto.ca/group/cinema-studies-student-union/
Civil and Mineral Engineering Graduate Students Association,https://sop.utoronto.ca/group/civil-and-mineral-engineering-graduate-students-association/
Classics Students’ Union,https://sop.utoronto.ca/group/classics-students-union/
Comparative Literature Course Union,https://sop.utoronto.ca/group/comparative-literature-course-union/
Computer Science Students Union (CSSU),https://sop.utoronto.ca/group/computer-science-students-union/
Computer Science Students Union (CSSU),https://sop.utoronto.ca/group/copy-of-computer-science-students-union-cssu/
Contemporary Asian Studies Student Union,https://sop.utoronto.ca/group/contemporary-asian-studies-student-union/
Creativity and Society Student Association (CRESA),https://sop.utoronto.ca/group/creative-expression-and-society-student-union/
Criminology & Sociolegal Studies Students’ Association (CRIMSA),https://sop.utoronto.ca/group/criminology-sociolegal-studies-students-association/
Diaspora and Transnational Studies Union,https://sop.utoronto.ca/group/diaspora-and-transnational-studies-union/
Drama Student Union,https://sop.utoronto.ca/group/drama-student-union/
East Asian Studies Student Union,https://sop.utoronto.ca/group/east-asian-studies-student-union/
Ecology and Evolutionary Biology Undergraduate Union (EEBU),https://sop.utoronto.ca/group/copy-of-ecology-and-evolutionary-biology-undergraduate-union-eebu/
Economics Students Association,https://sop.utoronto.ca/group/economics-students-association/
Economics Union,https://sop.utoronto.ca/group/economics-union/
English Students’ Union,https://sop.utoronto.ca/group/english-students-union/
Environmental Students’ Union,https://sop.utoronto.ca/group/environmental-students-union/
Equity Studies Student Union (ESSU),https://sop.utoronto.ca/group/equity-studies-student-union/
Ethics Society & Law Students’ Association (ES&LSA),https://sop.utoronto.ca/group/ethics-society-and-law-student-association/
European Studies Students’ Association,https://sop.utoronto.ca/group/european-studies-students-association/
Factor-Inwentash Faculty of Social Work Graduate Student Association,https://sop.utoronto.ca/group/factor-inwentash-faculty-of-social-work-graduate-student-association/
Faculty of Music Undergraduate Association (FMUA),https://sop.utoronto.ca/group/faculty-of-music-undergraduate-association-fmua/
Forestry Graduate Student Association,https://sop.utoronto.ca/group/forestry-graduate-student-association/
French Course Union,https://sop.utoronto.ca/group/french-course-union/
German Studies Students’ Union,https://sop.utoronto.ca/group/german-studies-students-union/
Graduate Architecture, Landscape & Design Student Union (GALDSU),https://sop.utoronto.ca/group/graduate-architecture-landscape-design-student-union-galdsu/
Graduate Centre for Study of Drama Student Union,https://sop.utoronto.ca/group/graduate-centre-for-study-of-drama-student-union/
Graduate Geography and Planning Student Society,https://sop.utoronto.ca/group/graduate-geography-and-planning-student-society/
Graduate Union of the Students of Art,https://sop.utoronto.ca/group/graduate-union-of-the-students-of-art/
